TICID,cluster,M_seis,M_eff,age_gyr,age_std,sigma_obs,sigma_model,age_MIST,age_Dartmouth,age_GARSTEC,age_YREC
306552813,Casado_Alessi_1,1.9749747216005964,2.048601983952349,1.061765548942609,0.4158597171736862,0.41248654688444697,0.05285974845875835,1.061765548942609,1.204431899656143,1.1059218711801624,1.1500495317332593
306955660,Casado_Alessi_1,2.371576834650335,2.2072428291722446,0.8819827859979094,0.41872675253786557,0.4018142759629234,0.11780229591692404,0.8819827859979094,1.1969900027257696,1.0820790205137751,1.1327225699718486
306187638,Casado_Alessi_1,1.9465089203096213,2.0372156634359593,1.0898651166781623,0.4216715037677051,0.41917360482838045,0.04582953310801318,1.0898651166781623,1.2091298904639451,1.1089850709163338,1.1521248945186429
414752508,HSC_95,0.8069796864282035,0.8069796864282035,13.7,11.843554572333277,11.843554572333277,0.0,13.7,13.7,13.7,13.7
354016987,LISC_3534,3.76356883657036,3.76356883657036,0.2213885817982235,0.5101578392765432,0.10129669775126576,0.5,0.2213885817982235,,,
67569102,NGC_752,1.8612247336206216,1.7958204937068416,1.4548574993724808,0.7218918697393568,0.7158365216441839,0.09330565832863667,1.4548574993724808,1.7091107559300773,1.5314390336157735,1.5977592701509025
67420118,NGC_752,1.5485794884518325,1.670762395639326,1.7133338499758133,0.8348274818335989,0.8235202700220946,0.13693534710718136,1.7133338499758133,2.0874162212640566,1.9184676489359624,1.9865567516566018
186970424,NGC_752,1.778194204309795,1.7626082819825108,1.5342087796517232,0.7480581634643885,0.7422606914122216,0.09295204091339007,1.5342087796517232,1.788107224902152,1.6219372033932062,1.6897593886907012
67419922,NGC_752,1.8208722420083705,1.7796794970619412,1.4999892532051597,0.7455971650673319,0.74005548321525,0.0907359593517641,1.4999892532051597,1.7467230518620664,1.5747930647132309,1.6422117551255655
150753375,Theia_1188,2.3473233639375515,2.3473233639375515,0.7825215565429948,0.6188467764949239,0.3646523450879732,0.5,0.7825215565429948,,,
321823630,Theia_1297,2.327279513598277,2.327279513598277,0.7633353567437204,0.6066729879032543,0.34358712759860804,0.5,0.7633353567437204,,,
306345133,Theia_6046,0.9708128143141292,1.1714136595686568,6.693107324864844,3.402131408561486,3.3984473063120206,0.15828464025650973,6.693107324864844,7.1250449766603,6.894315111857712,6.999275259175377
43902016,Theia_6046,1.0822033267089135,1.2159698645265704,4.883791619555268,2.6091189863612656,2.6036216472321683,0.16928143151240335,4.883791619555268,5.282428106502915,5.110166148142261,5.307167410321848
24297458,Theia_6046,1.4300312877871275,1.355101048957856,4.008840530782445,2.6508276551879706,2.6481819015069887,0.11840554902614664,4.008840530782445,4.343727178897338,4.173562061692766,4.175554900904068
24666306,Theia_6046,1.216120263626085,1.269536639293439,6.037299690508192,3.5913291565993775,3.588694525570591,0.13753804266625988,6.037299690508192,5.7124466184216764,5.690767591776618,5.833687839722657
24444542,Theia_6046,1.2073186489395376,1.26601599341882,4.401366865638932,2.503287266051643,2.5008529344929866,0.11037090383850098,4.401366865638932,4.491021606275606,4.581501356386281,4.699471583395422
249064439,Theia_6046,1.5269604417844078,1.393872710556768,3.0179734362608697,1.9874852197700574,1.972792348022356,0.24122157944278802,3.0179734362608697,3.574562433688439,3.5780223110735543,3.572511995204354
34472483,Theia_6046,1.7025861116748575,1.4641229785129481,2.5934022443149067,1.8131070929097801,1.7989635621372126,0.22602529164309207,2.5934022443149067,3.179001137145532,3.068258847205441,3.0668327270476503
195860623,Theia_844,3.695920851777897,3.566770472179523,0.2402890097180336,0.5127228430839347,0.11351085331400272,0.5,0.2402890097180336,,,
195862014,Theia_844,3.265419586449983,3.3945699660483575,0.2766606192668811,0.5197464626902669,0.1419027324579939,0.5,0.2766606192668811,,,
459055617,Unknown_3,1.0566522534743856,1.0566522534743856,8.612636702979156,4.934350240500801,4.883291926256554,0.7080058325239006,8.612636702979156,10.42537105674477,9.995962048142315,10.20767754288051
